Date,AC,PUMA,MFC,XIT,XRE,XMA,XMV,XDV,XMD,XSP,XIN,XCB,XSB,XLB
2013-06-07,0.004415018,0,0.02044054,0.012626364,0.005448976,-0.032575917,-0.005522349,0,-0.002315757,0.013308788,0.017241816,-0.005155463,-0.002782937,-0.01054902
2013-06-10,0.004395611,0.040821995,-0.003685743,-0.003771118,-0.010317969,0.001470188,0,0.004556145,-0.001856045,-0.001058243,0.00351338,-0.002824153,-0.001742744,-0.00709495
2013-06-11,0.030239885,0,-0.006172874,-0.01650849,-0.020962435,-0.032104192,-0.006481493,-0.00913243,-0.015445804,-0.00904008,-0.023315848,0.000471457,0.001046549,0
2013-06-12,0.025211419,-0.040821995,-0.02191026,-0.010295908,-0.018233769,0.003030487,-0.009801846,-0.010606865,-0.010431673,-0.008045478,-0.00256763,-0.002829417,-0.001046549,-0.002227482
2013-06-13,0.012371292,0.040821995,0.010075716,0.028063056,0.019479034,0.009035998,0.001874782,0.01106523,0.010903072,0.014965523,0.011756079,0.003299988,0.001742744,0.005337335
2013-06-14,0.016260521,0,-0.014515637,-0.008843943,0.000622102,-0.01586709,0.010246705,-0.003214193,0.001413863,-0.005852381,-0.012784791,0.002352253,0.00173998,0.00663314
2013-06-17,0.035647339,0.039220713,0.018892099,0.005063321,0.006199622,0.004559131,0.00231451,0.006875703,0.004228054,0.006912869,0.013800508,-0.001411046,-0.00173998,-0.002206312
2013-06-18,0.019268419,0,0.022209141,0.016280719,-0.002475118,-0.015279122,0.006910379,0.007282266,0.002808862,0.007917953,0.010603498,-0.000941207,0.001392549,-0.000441731
2013-06-19,-0.003824096,0,0.010319043,-0.006230574,-0.012453569,-0.018890679,-0.001109844,-0.007400228,-0.002356785,-0.012839762,-0.008693571,-0.005967065,-0.003701917,-0.009352298
2013-06-20,-0.067352182,0,0.014388735,-0.015113466,-0.028099283,-0.055074384,-0.032450584,-0.02178561,-0.031155188,-0.025523919,-0.031301304,-0.004284602,-0.0003501,-0.009439869
2013-06-21,-0.004106782,0.037740328,-0.004773309,-0.001269961,-0.008455466,0.014876222,0.004768598,0.0032754,0.004372447,0.002197739,0.007391667,-0.006221986,-0.002453734,-0.016393981
2013-06-24,-0.025001302,-0.037740328,-0.029128268,-0.015365278,-0.013148981,-0.040172752,0,-0.009856511,-0.023045909,-0.012703392,-0.019119205,-0.007710986,-0.002458641,-0.013404585
2013-06-25,0.077117303,0,0.017094214,0.032998043,0.021604446,0.011884767,-0.009079957,0.011722628,0.016236502,0.009955384,0.015429827,0.003380558,0.001757207,0
2013-06-26,-0.011787956,0,0.01442342,0.011173118,0.000647541,-0.029111644,0.007652037,-0.002800665,-0.00048836,0.009312828,0.009981664,0.000482402,0.001052934,0.006955723
2013-06-27,-0.032131278,-0.080042708,0,0.006154001,0.018595914,0.010371621,0.005700694,0.003267103,0.007297767,0.006521819,0.007810721,0.004327468,0.000350702,0.005529938
